//https://suanjin.github.io/main/tv/cb.txt
⚛️地方卫视回看,#genre#
深圳卫视,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8?zweimd
广东卫视,http://111.40.196.32/PLTV/88888888/224/3221225533/index.m3u8?zweimd
北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8?zweimd
浙江卫视,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8?zweimd
东南卫视,http://111.40.196.28/PLTV/88888888/224/3221225583/index.m3u8?zweimd
天津卫视,http://111.40.196.32/PLTV/88888888/224/3221225597/index.m3u8?zweimd
安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8?zweimd
深圳卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225741/index.m3u8?zweimd
辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8?zweimd
甘肃卫视,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8?zweimd
重庆卫视,http://111.40.196.31/PLTV/88888888/224/3221225514/index.m3u8?zweimd
厦门卫视,http://111.40.196.32/PLTV/88888888/224/3221225643/index.m3u8?zweimd
宁夏卫视,http://111.40.196.29/PLTV/88888888/224/3221225641/index.m3u8?zweimd
安多卫视,http://111.40.196.28/PLTV/88888888/224/3221225666/index.m3u8?zweimd
康巴卫视,http://111.40.196.38/PLTV/88888888/224/3221225648/index.m3u8?zweimd
云南卫视,http://111.40.196.29/PLTV/88888888/224/3221225644/index.m3u8?zweimd
兵团卫视,http://111.40.196.31/PLTV/88888888/224/3221225637/index.m3u8?zweimd
湖南卫视,http://111.40.196.28/PLTV/88888888/224/3221225519/index.m3u8?zweimd
湖北卫视,http://111.40.196.30/PLTV/88888888/224/3221225547/index.m3u8?zweimd
北京卫视,http://111.40.196.32/PLTV/88888888/224/3221225527/index.m3u8?zweimd
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8?zweimd
广东卫视,http://111.40.196.31/PLTV/88888888/224/3221225531/index.m3u8?zweimd
山东卫视,http://111.40.196.30/PLTV/88888888/224/3221225543/index.m3u8?zweimd
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8?zweimd
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
浙江卫视,http://hwml.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://hwml.cztv.com/channels/lantian/channel13/1080p.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225702/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
贵州卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls
东南卫视,http://117.169.120.140:8080/live/dongnanstv/.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
广西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8?fmt=ts2hls
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8
晋江卫视,http://stream.jinjiang.tv/1/sd/live.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/chunklist_w19172251.m3u8
延边卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226201/index.m3u8
浙江卫视,http://hms363nc1880172761.live.aikan.miguvideo.com/PLTV/88888888/224/3221229352/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
深圳卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225741/index.m3u8?1080P
深圳卫视,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8?1080P
西藏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225723/index.m3u8
深圳卫视,http://120.132.122.244:59845/hls/31/index.m3u8
北京卫视,http://111.40.196.30/PLTV/88888888/224/3221225540/index.m3u8
黑龙江卫视,http://111.40.196.27/PLTV/88888888/224/3221225544/index.m3u8
辽宁卫视,http://111.40.196.27/PLTV/88888888/224/3221225558/index.m3u8
内蒙古卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225667/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
吉林卫视,http://111.40.196.36/PLTV/88888888/224/3221225589/index.m3u8
内蒙古卫视,http://111.40.196.39/PLTV/88888888/224/3221225574/index.m3u8
宁夏卫视,http://111.40.196.31/PLTV/88888888/224/3221225530/index.m3u8
陕西卫视,http://111.40.196.34/PLTV/88888888/224/3221225582/index.m3u8
广西卫视,http://111.40.196.35/PLTV/88888888/224/3221225518/index.m3u8
云南卫视,http://111.40.196.36/PLTV/88888888/224/3221225635/index.m3u8
贵州卫视,http://111.40.196.25/PLTV/88888888/224/3221225522/index.m3u8
四川卫视,http://111.40.196.34/PLTV/88888888/224/3221225562/index.m3u8
海南卫视,http://111.40.196.35/PLTV/88888888/224/3221225623/index.m3u8
广东卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225701/165314062011651284060.m3u8
湖南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225704/165310976011651280942.m3u8
广东卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225742/165314070911648950419.m3u8
湖南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225745/165310980711648947278.m3u8
湖北卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225699/165314232811651284245.m3u8
浙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225744/165313704011648950003.m3u8
湖北卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225740/165314242811648950531.m3u8
东方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225658/165314023611648950319.m3u8
浙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225703/165313208011651283178.m3u8
东方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225659/165314032511651284002.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225702/165311006411651280974.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225702/165311009411651280977.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225673/165314152211648950446.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225674/165314154911651284122.m3u8
黑龙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225690/165314619811651284587.m3u8
黑龙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225736/165314625711648950924.m3u8
山东卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225697/165314207411651284174.m3u8
山东卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225697/165314217711651284184.m3u8
安徽卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225691/165314643211651284611.m3u8
安徽卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225691/165314638211651284606.m3u8
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225696/165314650811651284617.m3u8
陕西卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225729/165314883311648951214.m3u8
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225735/165314660311648950958.m3u8
江西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225705/165314747411651284715.m3u8
深圳卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225700/165314107911651284077.m3u8
江西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225746/165314761511648951059.m3u8
深圳卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225741/165314118411648950460.m3u8
天津卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225698/165314177111651284161.m3u8
天津卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/165314188811648950485.m3u8
重庆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225692/165314768611651284739.m3u8
重庆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225734/165314776311648951092.m3u8
东南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/165314731511648951029.m3u8
吉林卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225680/165314909711648951247.m3u8
南方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226203/165314972411651284940.m3u8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225744/index.m3u8
黑龙江卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225736/index.m3u8
黑龙江卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225690/index.m3u8
山东卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225697/index.m3u8
山东卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225738/index.m3u8
重庆卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225692/index.m3u8
河北卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225732/index.m3u8
重庆卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225734/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
康巴卫视,http://111.40.196.38/PLTV/88888888/224/3221225648/index.m3u8
西藏卫视,http://117.169.120.140:8080/live/xizangstv/.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s100167e5f23de35df/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
粤语电影,http://epg.112114.xyz/douyu/2466104
粤语综艺,http://epg.112114.xyz/douyu/7919720
华语经典,http://epg.112114.xyz/douyu/434971
吃米滴虫,http://epg.112114.xyz/douyu/315457
神乐影片1,http://epg.112114.xyz/douyu/122402
神乐影片2,http://epg.112114.xyz/douyu/85894
特辑影院,http://epg.112114.xyz/douyu/3637778
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
漫威影片,http://epg.112114.xyz/douyu/6140589
刘德华电影1,http://epg.112114.xyz/douyu/2516864
刘德华电影2,http://epg.112114.xyz/douyu/8985415
喜剧经典,http://epg.112114.xyz/douyu/9650887
豆瓣高分,http://epg.112114.xyz/douyu/8770422
林正英电影1,http://epg.112114.xyz/douyu/218859
林正英电影2,http://epg.112114.xyz/douyu/7356023
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
霍格影片,http://epg.112114.xyz/douyu/8814650
可乐电影,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
奶瓶科幻片,http://epg.112114.xyz/douyu/6655271
避风港影院,http://epg.112114.xyz/douyu/9826611
林林影院,http://epg.112114.xyz/douyu/9652323
漫威电影,http://epg.112114.xyz/douyu/4282654
恐怖经典,http://epg.112114.xyz/douyu/1165374
华语电影,http://epg.112114.xyz/douyu/3928
华语动作电影,http://epg.112114.xyz/douyu/1504768
怀旧90,http://epg.112114.xyz/douyu/9275635
国产影片,http://epg.112114.xyz/douyu/5423
麓山迷踪,http://epg.112114.xyz/douyu/4505431
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888
经典影视,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198751
试胆大会,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637483721
高能烧脑,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625542365
刘亦菲,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528386
云上电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625703337
暑期剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198692
黄金剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625155140
军旅剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625643517
少林剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625526423
高清大片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/629943678
古天乐,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198610
热剧联播,http://112.74.200.9:88/tv000000/m3u8.php?/migu/629943613
喜剧联盟,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637444830
僵尸剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627033504
谍战剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/634274665
经典贺岁,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774662
怀旧老片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/621640582
武侠剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198822
盗墓方法,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625681367
周润发,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639526984
古龙作,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528313
周星驰,http://112.74.200.9:88/tv000000/m3u8.php?/migu/623338112
成龙,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890
张国荣,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707689526
郭富城,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330
刘德华,http://112.74.200.9:88/tv000000/m3u8.php?/migu/659315648
KiD影院9,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198822/index.m3u8
KiD影院10,http://112.74.200.9:88/tv000000/m3u8.php?/migu/617432318/index.m3u8
南京影视,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
兴隆影视,https://jwcdnqx.hebyun.com.cn/live/xlys/1500k/tzwj_video.m3u8
河北影视,http://live6.plus.hebtv.com/hbysx/hd/live.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
福州影视,http://live.zohi.tv/video/s10001yspd2/index.m3u8
江苏影视,http://183.207.248.13:80/PLTV/4/224/3221225937/index.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
陕西影视,http://111.20.33.93/PLTV/88888893/224/3221226360/index.m3u8
西安影视,http://stream2.xiancity.cn/xatv4/playlist.m3u8
徐州影视,http://stream1.huaihai.tv/wyys/playlist.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
衡水影视,http://hls.hsrtv.cn/hls/hstv2.m3u8
海西影视,http://stream.haixitv.cn/1/sd/live.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001sxtv3/index.m3u8
浙江影视,https://hwml.cztv.com/channels/lantian/channel004/1080p.m3u8
上海影视,http://111.40.196.28/wh7f454c46tw1127318098_1235980081/PLTV/88888888/224/3221225615/index.m3u8?
湖南影视,http://111.40.196.30/PLTV/88888888/224/3221225660/index.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8?_upt=f6b685651648171016
江苏徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
河北影视频道,https://live6.plus.hebtv.com/hbysx/playlist.m3u8?_upt=d3ab1b741648035290
柳林影视,http://pililivehls.212.i2863.com/i2863212/live_212_316579.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc561291.m3u8
西安文化影视,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
河北影视,http://live6.plus.hebtv.com/hbysx/playlist.m3u8?_upt=a91475711648034289
衡水影视娱乐,http://hls.hsrtv.cn/hls/hstv2.m3u8?checkedby:iptvcat.com
嘉兴文化影视,http://pluslive.jiaxingren.com/whys/sd/live.m3u8
定州国学影视,https://jwcdnqx.hebyun.com.cn/live/yspd/1500k/tzwj_video.m3u8
江苏影视,https://livehls.jstv.com/livezhuzhan/jsys.m3u8?upt=2012408f2510710360
江苏影视频,http://183.207.248.15/PLTV/4/224/3221225937/index.m3u8
定州国学影视,https://jwliveqxzb.hebyun.com.cn/yspd/yspd.m3u8
佛山影视,http://pililivertmp.wdit.com.cn/wditlive/fs_yspd.m3u8
长沙影视频道,https://hls.quklive.com/live/1551749282880742/index.m3u8
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
山西影视,http://liveflash.sxrtv.com:80/live/sxfilm.m3u8
东至影视频道,http://223.247.33.124:1935/live/yingshi/playlist.m3u8
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州影视文艺,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
新泰影视频道,http://111.17.214.4:1935/live/xtys/playlist.m3u8
新泰影视频道,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
浙江影视台,http://hwml.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江教科影视,http://hwml.cztv.com/channels/lantian/channel004/1080p.m3u8
未知影视,http://39.135.138.58:18890/TVOD/88888888/224/3221225716/index.m3u8
高青影视,https://jsylivealone302.iqilu.com/gaoqing/gaoqing_tv02.m3u8
莱山影视,https://jsylivealone302.iqilu.com/laishan/laishan_tv02.m3u8
济阳影视,https://jsylivealone302.iqilu.com/live/jiyang_tv02.m3u8
任城影视娱乐,https://jsylivealone302.iqilu.com/rencheng/rencheng_tv02.m3u8
西安影视,http://111.20.33.70/PLTV/88888893/224/3221226369/index.m3u8
溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8
东至影视,http://223.247.33.124:1935/live/yingshi/HasBahCa.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/HasBahCa.m3u8
石河子影视文体,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
